run7_noRandom_rbin10_fullpofz:
zbin, total_samplesize, stelM_threshold, stelM_binned_size
1, 993311, 8.6, 741421
1, 993311, 8.8, 604938
1, 993311, 9.0, 493162
1, 993311, 9.2, 399445
1, 993311, 9.4, 320411
1, 993311, 9.6, 254421
1, 993311, 9.8, 196252
1, 993311, 10.0, 144888
1, 993311, 10.2, 101102
1, 993311, 10.4, 63707
1, 993311, 10.6, 34636
1, 993311, 10.8, 14973
1, 993311, 11.0, 4188
2, 1017250, 9.0, 859982
2, 1017250, 9.2, 725718
2, 1017250, 9.4, 599808
2, 1017250, 9.6, 490205
2, 1017250, 9.8, 391751
2, 1017250, 10.0, 301405
2, 1017250, 10.2, 215313
2, 1017250, 10.4, 139679
2, 1017250, 10.6, 79090
2, 1017250, 10.8, 36993
2, 1017250, 11.0, 13556
2, 1017250, 11.2, 3681
3, 865638, 9.4, 682945
3, 865638, 9.6, 522017
3, 865638, 9.8, 373841
3, 865638, 10.0, 262900
3, 865638, 10.2, 181823
3, 865638, 10.4, 122000
3, 865638, 10.6, 75238
3, 865638, 10.8, 39297
3, 865638, 11.0, 16064
3, 865638, 11.2, 4813
4, 580570, 9.8, 387704
4, 580570, 10.0, 257202
4, 580570, 10.2, 152668
4, 580570, 10.4, 85144
4, 580570, 10.6, 44378
4, 580570, 10.8, 22023
4, 580570, 11.0, 10310
4, 580570, 11.2, 4166
