run11_noRandom_rbin10_fullpofz:
zbin, downby, total_after_downsampling, stelM_thresh, stelM_thresh_total
1, 20, 2263281, 8.6, 2263281
1, 20, 2263281, 8.8, 2263281
1, 20, 2263281, 9.0, 2263281
1, 20, 2263281, 9.2, 2263281
1, 20, 2263281, 9.4, 2263281
1, 20, 2263281, 9.6, 2263281
1, 20, 2263281, 9.8, 2263281
1, 20, 2263281, 10.0, 2263281
1, 20, 2263281, 10.2, 2263281
1, 20, 2263281, 10.4, 2263281
1, 20, 2263281, 10.6, 2263281
1, 20, 2263281, 10.8, 2263281
1, 20, 2263281, 11.0, 2263281
2, 20, 2263281, 9.0, 2263281
2, 20, 2263281, 9.2, 2263281
2, 20, 2263281, 9.4, 2263281
2, 20, 2263281, 9.6, 2263281
2, 20, 2263281, 9.8, 2263281
2, 20, 2263281, 10.0, 2263281
2, 20, 2263281, 10.2, 2263281
2, 20, 2263281, 10.4, 2263281
2, 20, 2263281, 10.6, 2263281
2, 20, 2263281, 10.8, 2263281
2, 20, 2263281, 11.0, 2263281
2, 20, 2263281, 11.2, 2263281
3, 20, 2263281, 9.4, 2263281
3, 20, 2263281, 9.6, 2263281
3, 20, 2263281, 9.8, 2263281
3, 20, 2263281, 10.0, 2263281
3, 20, 2263281, 10.2, 2263281
3, 20, 2263281, 10.4, 2263281
3, 20, 2263281, 10.6, 2263281
3, 20, 2263281, 10.8, 2263281
3, 20, 2263281, 11.0, 2263281
3, 20, 2263281, 11.2, 2263281
4, 20, 2263281, 9.8, 2263281
4, 20, 2263281, 10.0, 2263281
4, 20, 2263281, 10.2, 2263281
4, 20, 2263281, 10.4, 2263281
4, 20, 2263281, 10.6, 2263281
4, 20, 2263281, 10.8, 2263281
4, 20, 2263281, 11.0, 2263281
4, 20, 2263281, 11.2, 2263281
